Designator,Mid X,Mid Y,Rotation,Layer
C1,84.3,-58.0,45.0,top
C10,84.3288,-97.0305,180.0,top
C11,84.3,-92.5,180.0,top
C12,70.612,-51.8,0.0,top
C13,83.566,-79.883,270.0,top
C14,91.9988,-79.883,270.0,top
C15,43.0,-42.75,270.0,top
C16,69.596,-42.799,180.0,top
C17,40.6654,-64.135,270.0,top
C18,41.5544,-55.3212,90.0,top
C19,39.5732,-42.418,0.0,top
C2,77.9,-88.9,0.0,top
C20,34.163,-109.855,0.0,top
C21,51.7905,-100.95,0.0,top
C22,55.118,-100.95,180.0,top
C23,59.055,-97.0535,90.0,top
C24,60.579,-97.0535,90.0,top
C25,65.1256,-79.4004,90.0,top
C26,45.8978,-75.7428,180.0,top
C27,63.627,-96.52,90.0,top
C28,46.99,-100.8375,270.0,top
C29,62.103,-96.52,90.0,top
C3,80.5,-58.0,225.0,top
C30,43.3832,-91.8972,180.0,top
C31,63.8048,-91.948,90.0,top
C32,63.6016,-79.4004,270.0,top
C33,45.9,-77.2318,0.0,top
C34,25.4,-87.884,180.0,top
C35,74.4,-40.9,0.0,top
C36,27.686,-105.7275,0.0,top
C37,67.056,-113.3093,90.0,top
C38,27.686,-104.2035,180.0,top
C39,26.9748,-102.3112,0.0,top
C4,71.4,-54.2125,270.0,top
C40,65.8495,-59.436,180.0,top
C41,86.9,-79.883,270.0,top
C42,67.31,-105.0797,270.0,top
C43,93.1,-76.6375,270.0,top
C44,49.53,-100.8375,90.0,top
C45,69.215,-44.069,0.0,top
C46,67.31,-42.799,180.0,top
C47,67.056,-44.069,0.0,top
C48,65.151,-42.799,180.0,top
C49,64.643,-44.069,0.0,top
C5,69.8,-54.2125,270.0,top
C50,62.992,-42.799,180.0,top
C51,62.484,-44.069,0.0,top
C52,58.674,-45.974,180.0,top
C53,58.166,-47.244,0.0,top
C54,56.261,-45.974,180.0,top
C55,55.626,-47.244,0.0,top
C56,52.324,-45.974,180.0,top
C57,51.816,-47.244,0.0,top
C58,50.038,-45.974,180.0,top
C59,49.53,-47.244,0.0,top
C6,70.358,-58.1,0.0,top
C7,70.5125,-56.5,0.0,top
C78,40.64,-60.5536,90.0,top
C79,55.245,-59.436,180.0,top
C8,84.3288,-93.9825,180.0,top
C80,47.244,-50.419,90.0,top
C82,60.071,-58.801,0.0,top
C9,84.3288,-95.5065,180.0,top
D1,95.1865,-80.2005,0.0,top
D13,65.2526,-50.4952,180.0,top
D14,63.2714,-104.5464,180.0,top
D15,91.514214,-29.385786,315.0,bottom
D16,61.3512,-107.5104,270.0,top
D17,55.753,-104.902,0.0,top
D19,25.4,-86.3092,180.0,top
D2,85.7,-85.5,90.0,top
D20,89.1,-25.7,315.0,bottom
D21,38.65,-97.05,0.0,top
D22,38.6335,-98.95,0.0,top
D23,38.6335,-95.15,0.0,top
D27,38.6335,-93.25,0.0,top
D28,64.4,-74.4,0.0,top
D29,56.9,-73.0,180.0,top
D3,35.687,-31.115,0.0,bottom
D30,94.6,-55.35,270.0,top
D31,94.6,-52.15,270.0,top
D32,97.1,-55.3,270.0,top
D33,97.6,-52.2,270.0,top
D34,24.05,-47.05,270.0,top
D35,26.25,-35.15,270.0,top
D36,96.0,-87.25,90.0,top
D37,91.7892,-87.25,90.0,top
D38,54.991,-50.419,180.0,top
D39,60.3885,-50.4952,0.0,top
D4,41.275,-31.242,270.0,bottom
D40,49.95164,-50.4444,0.0,top
D41,76.835,-98.425,270.0,top
D42,67.3,-92.3,90.0,top
D43,90.4,-50.15,90.0,top
D5,35.687,-27.559,0.0,bottom
D6,35.687,-24.003,0.0,bottom
D7,54.483,-108.458,90.0,top
FB1,63.754,-94.234,180.0,top
FID1,28.194,-27.7368,0.0,top
FID2,42.799,-94.488,0.0,top
FID3,91.567,-60.325,0.0,top
FID4,82.7,-102.9,0.0,top
FID5,91.0844,-58.6486,180.0,bottom
FID6,60.35,-65.45,180.0,bottom
G1,59.055,-50.8,0.0,bottom
J1,61.018,-112.1816,0.0,top
J12,30.734,-24.003,0.0,top
J13,30.734,-27.559,0.0,top
J15,75.65,-60.4,180.0,bottom
J17,91.35,-76.4,180.0,bottom
J19,64.69,-100.838,0.0,top
J2,46.1518,-108.966,270.0,top
J3,41.275,-36.322,270.0,top
J4,35.7632,-75.9714,90.0,top
J5,30.734,-30.607,0.0,top
J6,74.4,-109.4,270.0,top
LOGO3,29.591,-89.027,180.0,bottom
Q1,92.456,-96.52,0.0,top
R1,40.0812,-55.3212,90.0,top
R10,90.6,-54.1,270.0,top
R12,69.85,-48.0,270.0,top
R120,24.6588,-56.3,270.0,top
R121,26.9588,-56.3,270.0,top
R122,29.2588,-56.3,270.0,top
R123,31.5588,-56.3,270.0,top
R124,33.8588,-56.3,270.0,top
R125,36.1588,-56.3,270.0,top
R13,71.374,-48.0,270.0,top
R131,58.1914,-33.3248,180.0,top
R139,45.6945,-43.18,180.0,top
R14,61.1124,-41.275,0.0,top
R141,46.355,-45.466,270.0,top
R16,38.5826,-55.3212,270.0,top
R2,75.1,-81.3,270.0,top
R20,90.5129,-79.883,270.0,top
R21,55.743153,-26.956847,135.0,bottom
R22,85.8,-82.8,0.0,top
R23,61.1632,-45.4152,0.0,top
R24,65.405,-33.401,180.0,top
R25,54.3179,-43.7896,180.0,top
R26,60.9,-67.4,90.0,top
R27,54.3052,-42.3164,180.0,top
R28,56.887501,-74.5,0.0,top
R29,61.3,-74.4,180.0,top
R3,73.378087,-59.738287,135.0,top
R30,69.9008,-70.4088,270.0,top
R31,63.5,-30.861,0.0,top
R32,59.4,-67.4,90.0,top
R33,53.643153,-26.856847,135.0,bottom
R34,63.1952,-35.814,180.0,top
R35,57.9,-67.4,90.0,top
R36,94.6,-49.1,90.0,top
R37,62.738,-33.401,180.0,top
R38,62.4,-70.4,90.0,top
R39,60.9,-70.4,90.0,top
R4,73.8,-76.7125,90.0,top
R41,58.2168,-35.8394,0.0,top
R42,39.5732,-40.894,0.0,top
R43,37.211,-109.855,180.0,top
R44,59.4,-70.4,90.0,top
R45,43.3045,-89.2818,180.0,top
R46,57.9,-70.4,90.0,top
R47,54.2289,-114.1984,180.0,top
R48,65.786,-105.0798,270.0,top
R49,97.6,-49.1,90.0,top
R5,62.4,-67.4,90.0,top
R50,25.4,-84.7344,180.0,top
R51,24.7,-35.15,90.0,top
R52,69.85,-35.56,135.0,top
R53,68.4,-67.4,90.0,top
R54,68.961,-36.1442,135.0,top
R55,66.9,-67.4,90.0,top
R56,65.405,-30.861,180.0,top
R57,65.4,-67.4,90.0,top
R58,65.659,-35.814,0.0,top
R59,63.9,-67.4,90.0,top
R6,89.027,-79.883,90.0,top
R60,68.4,-70.4,90.0,top
R61,66.9,-70.4,90.0,top
R62,65.4,-70.4,90.0,top
R63,63.9,-70.4,90.0,top
R64,56.4,-67.4,90.0,top
R65,54.9,-67.4,90.0,top
R66,53.4,-67.4,90.0,top
R67,51.9,-67.4,90.0,top
R68,56.4,-70.4,90.0,top
R69,54.9,-70.4,90.0,top
R70,53.4,-70.4,90.0,top
R71,51.9,-70.4,90.0,top
R72,50.4,-67.4,90.0,top
R73,48.9,-67.4,90.0,top
R74,47.4,-67.4,90.0,top
R75,45.9,-67.4,90.0,top
R76,50.4,-70.4,90.0,top
R77,48.9,-70.4,90.0,top
R78,47.4,-70.4,90.0,top
R79,45.9,-70.4,90.0,top
R8,85.1,-79.9,90.0,top
R80,57.843153,-27.056847,135.0,bottom
R81,59.843153,-27.356847,135.0,bottom
R82,77.5,-79.1,270.0,top
R83,75.4,-76.7,270.0,top
R84,90.043,-58.801,0.0,top
R85,77.724,-55.626,225.0,top
R86,80.137,-55.88,225.0,top
R87,58.0136,-107.4928,0.0,top
R88,54.2158,-112.6744,0.0,top
R9,70.612,-50.292,0.0,top
RN1,35.063,-95.631,270.0,top
RN13,50.673,-43.307,0.0,top
RN2,68.326,-40.132,0.0,top
RN3,57.658,-42.926,0.0,top
RN4,64.516,-40.132,0.0,top
RN5,30.2,-67.95,0.0,top
RN6,25.7,-67.95,0.0,top
SW1,36.7284,-88.4428,0.0,top
SW2,36.7284,-84.1248,180.0,top
SW3,36.7284,-83.9,180.0,top
SW4,36.7284,-88.7,0.0,top
U1,54.0868,-86.2846,0.0,top
U10,86.1,-50.3,90.0,top
U2,83.5,-68.403,270.0,top
U3,60.9462,-69.91353,0.0,top
U31,26.2636,-62.5348,0.0,top
U32,31.6992,-62.5348,0.0,top
U33,37.1348,-62.5348,0.0,top
U35,54.356,-62.992,90.0,top
U36,60.89396,-55.118,270.0,top
U4,38.1,-48.641,180.0,top
U46,49.85258,-55.17642,270.0,top
U5,27.6,-95.9,270.0,top
U7,70.9,-92.3,90.0,top
U8,64.77,-62.992,90.0,top
U9,80.5,-50.3,90.0,top
X1,53.467,-98.2,180.0,top
Y2,48.26,-98.1,180.0,top
